Id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
1468,Bhojon Tripti,Yes,No,2.9,24,Bannerghatta Road,Quick Bites,NA,"Bengali, North Indian",300,Delivery
1469,New South Corner,Yes,No,3.7,20,BTM,Quick Bites,NA,"South Indian, North Indian, Chinese",300,Delivery
1470,Khana Khazana,Yes,No,3.7,22,Bannerghatta Road,Delivery,NA,North Indian,400,Delivery
1471,China Tang,Yes,No,3.7,41,BTM,"Takeaway, Delivery",NA,Chinese,600,Delivery
1472,California Burrito,No,No,4,177,Bannerghatta Road,Quick Bites,"Rice Bowl, Nachos, Rice Bowls, Salad, California Burrito, Tacos, Salads","Mexican, Fast Food",400,Delivery
1473,Hungry Haters,Yes,No,0,0,JP Nagar,Takeaway,NA,"Chinese, North Indian",300,Delivery
1474,Tandoor Garden,Yes,No,3.6,70,BTM,Quick Bites,"Tandoori Chicken, Butter Naan, Kadai Paneer, Pepper Chicken","North Indian, Chinese, Kebab",350,Delivery
1475,Caffe Pascucci,Yes,Yes,4,790,JP Nagar,Casual Dining,"Coffee, Cappuccino, Sandwiches, Salads, Asparagus Soup, Woodfire Pizza, Bruschettas","Continental, Italian, Beverages",1300,Delivery
1476,Freeze It,Yes,No,3.6,6,BTM,Dessert Parlor,NA,Ice Cream,300,Delivery
1477,Meal Square,Yes,No,3.2,8,Bannerghatta Road,Delivery,NA,"North Indian, Chinese",600,Delivery
1478,Chaitanya Cafe,Yes,No,3.9,92,JP Nagar,Quick Bites,"Coffee, Pav Bhaji, Masala Dosa, Vada Sambar","South Indian, North Indian, Fast Food",300,Delivery
1479,Anand Sweets and Savouries,No,No,4.1,131,Bannerghatta Road,Sweet Shop,"Chole Bhature, Thali, Papdi Chaat, Shahi Paneer","Mithai, Street Food",400,Delivery
1481,Tasty Jigarthanda,Yes,No,3.4,10,BTM,Beverage Shop,NA,"Beverages, Ice Cream",150,Delivery
1482,Berrylicious,Yes,No,3.8,89,JP Nagar,Dessert Parlor,"Macaroon, Brownie Sundae, Waffles","Ice Cream, Desserts, Bakery",400,Delivery
1483,RCS Kitchen,Yes,No,3.3,34,BTM,Quick Bites,NA,Continental,500,Delivery
1484,Pappu Da Dhaba,Yes,No,3,57,Jayanagar,Quick Bites,"Lassi, Chai, Paratha","North Indian, Fast Food, Beverages, Momos",400,Delivery
1485,Smoke  The Sizzler House,Yes,No,3.8,92,Bannerghatta Road,Food Court,"Chicken Sizzler, Garlic Bread, Potato Wedges, Vanilla Ice Cream, Pasta, French Fries","Continental, Chinese, Thai, Italian, BBQ, Steak",1100,Delivery
1486,Sandwich Shop,Yes,No,2.9,47,JP Nagar,Delivery,NA,"Fast Food, Burger, Sandwich",400,Delivery
1487,Joon Restaurant,Yes,No,3.7,31,BTM,Quick Bites,NA,"Arabian, Chinese, North Indian, Kerala, Juices",400,Delivery
1488,Shree Udupi Grand,Yes,No,3.8,14,Jayanagar,Casual Dining,NA,"South Indian, North Indian, Chinese",600,Delivery
1489,Snack Knack,Yes,No,3,36,BTM,Quick Bites,NA,"North Indian, Chinese",200,Delivery
1490,Chung Wah Opus,Yes,No,3,57,JP Nagar,Casual Dining,"Rice, Noodles, Chop Suey","Chinese, Thai",650,Delivery
1491,Chef & Dine,Yes,No,3.2,57,Bannerghatta Road,Casual Dining,NA,"North Indian, Arabian, Fast Food",650,Delivery
1493,Once In Nature,Yes,No,3.7,37,JP Nagar,Quick Bites,NA,Healthy Food,300,Delivery
1494,Manjushree Upahara,Yes,No,3.8,31,Bannerghatta Road,Quick Bites,NA,South Indian,150,Delivery
1495,Hotel Annapoorna,Yes,No,3.2,9,Bannerghatta Road,Quick Bites,NA,"South Indian, Chinese, North Indian, Seafood",400,Delivery
1496,Dream a Dozen,Yes,No,4.3,133,JP Nagar,Delivery,"Cup Cake, Cake Pops, Chocolate Truffle Cake, Brownie","Bakery, Desserts",300,Delivery
1497,Bread Crumbs Bakery,No,No,4,164,Bannerghatta Road,Bakery,"Samosa, Egg Puff, Paneer Puff, Chocolate Truffle","Desserts, Bakery",250,Delivery
1498,Nite Out,Yes,No,3.9,161,JP Nagar,Delivery,"Biryani, Noodles","North Indian, Chinese, Biryani",500,Delivery
1500,Cupcake Bliss,Yes,No,3.5,9,BTM,Delivery,NA,Bakery,250,Delivery
1501,Armaani Caffe,Yes,No,3.5,12,BTM,Quick Bites,NA,Fast Food,250,Delivery
1502,Muddhe Bytes,Yes,No,3.4,9,Bannerghatta Road,Quick Bites,NA,"South Indian, Biryani",300,Delivery
1503,The Paratha Stories,Yes,No,0,0,JP Nagar,Quick Bites,NA,North Indian,250,Delivery
1505,Calvins,Yes,No,0,0,Bommanahalli,"Takeaway, Delivery",NA,"Desserts, Italian, Pizza",800,Delivery
1507,Bombay Kulfis,Yes,No,3.5,9,Bannerghatta Road,Dessert Parlor,NA,Ice Cream,200,Delivery
1508,Willys Top Cafe,Yes,No,4,308,Jayanagar,Cafe,"Coffee Shake, Pasta, Buffalo Wings, Sandwich, Chicken Wings, Burgers, Fries","Cafe, Continental, Asian",750,Delivery
1509,Mist n Creams,Yes,No,3.7,15,Bannerghatta Road,Dessert Parlor,NA,Ice Cream,400,Delivery
